ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
399006.SZ,20241021,2210.3354,2211.3945,2266.6016,2182.2333,2195.1007,15.2347,0.694,60922000.38,224354560.5813
399006.SZ,20241022,2216.9898,2205.3993,2226.9307,2179.9976,2210.3354,6.6544,0.3011,48609505.37,168889215.61917
399006.SZ,20241023,2205.3024,2202.8237,2252.5209,2186.1762,2216.9898,-11.6874,-0.5272,50519826.11,180117405.056
399006.SZ,20241024,2175.0952,2187.2436,2203.0209,2168.2414,2205.3024,-30.2072,-1.3698,37660301.39,132664935.02051
399006.SZ,20241025,2238.897,2190.3928,2277.168,2180.2214,2175.0952,63.8018,2.9333,47863548.27,173111328.81034
399006.SZ,20241028,2229.118,2228.078,2236.4725,2198.8863,2238.897,-9.779,-0.4368,39204090.21,137405706.05535
399006.SZ,20241029,2177.3058,2231.8241,2239.2615,2175.8129,2229.118,-51.8122,-2.3243,42178914.44,146264293.19874
399006.SZ,20241030,2151.5146,2156.2769,2179.9444,2127.6329,2177.3058,-25.7912,-1.1845,36314421.16,127878597.17902
399006.SZ,20241031,2164.4619,2145.655,2204.859,2130.2684,2151.5146,12.9473,0.6018,50191881.74,165815318.74699
399006.SZ,20241101,2123.7383,2149.9381,2166.5211,2120.7251,2164.4619,-40.7236,-1.8815,45494023.62,146699856.99611
399006.SZ,20241104,2185.9842,2122.9804,2187.3779,2122.9804,2123.7383,62.2459,2.931,37452311.78,122667394.0975
399006.SZ,20241105,2289.8405,2184.9046,2301.9948,2172.5239,2185.9842,103.8563,4.751,57801749.12,204133047.57848
399006.SZ,20241106,2265.8324,2290.6715,2360.8811,2247.0378,2289.8405,-24.0081,-1.0485,59996983.08,218418761.57388
399006.SZ,20241107,2350.7599,2244.959,2350.7599,2240.2456,2265.8324,84.9275,3.7482,60294737.6,209141354.09343
399006.SZ,20241108,2321.5867,2396.8681,2402.379,2317.5087,2350.7599,-29.1732,-1.241,61305638.23,227407782.38217
399006.SZ,20241111,2392.4433,2298.6195,2393.5781,2296.3231,2321.5867,70.8566,3.0521,55609029.73,207479222.09598
399006.SZ,20241112,2390.8035,2416.2107,2448.2011,2362.5662,2392.4433,-1.6398,-0.0685,61518594.48,226722239.4864
399006.SZ,20241113,2417.2522,2367.1633,2427.1554,2345.0639,2390.8035,26.4487,1.1063,46664678.74,178033397.59444
399006.SZ,20241114,2334.9643,2411.2906,2419.6863,2331.6804,2417.2522,-82.2879,-3.4042,38210115.4,147263720.05498
399006.SZ,20241115,2243.62,2318.9356,2338.5569,2243.62,2334.9643,-91.3443,-3.912,40630456.5,152189259.24407
399006.SZ,20241118,2190.9503,2244.3226,2254.9219,2173.1841,2243.62,-52.6697,-2.3475,38879162.72,132446225.54823
399006.SZ,20241119,2256.6075,2200.1333,2261.5867,2173.4542,2190.9503,65.6572,2.9967,34786378.22,121972534.42703
399006.SZ,20241120,2267.8548,2242.5993,2283.7477,2239.7692,2256.6075,11.2473,0.4984,33980429.57,115008003.10743
399006.SZ,20241121,2265.8658,2254.2694,2281.1604,2248.382,2267.8548,-1.989,-0.0877,33231738.44,114997182.68224
399006.SZ,20241122,2175.5713,2257.9507,2269.265,2175.5713,2265.8658,-90.2945,-3.985,35684103.78,120157001.69114
399006.SZ,20241125,2175.1837,2184.1027,2193.6787,2140.4764,2175.5713,-0.3876,-0.0178,29269645.29,102380923.65754
399006.SZ,20241126,2150.0968,2163.3739,2187.1204,2148.1374,2175.1837,-25.0869,-1.1533,23884969.09,83275303.46863
399006.SZ,20241127,2208.7805,2136.7071,2209.1582,2119.5351,2150.0968,58.6837,2.7294,30067201.63,104087113.79623
399006.SZ,20241128,2169.8027,2204.4896,2206.8482,2165.5258,2208.7805,-38.9778,-1.7647,25713346.3,92469284.04507
399006.SZ,20241129,2224.0026,2162.5224,2264.6793,2162.5224,2169.8027,54.1999,2.4979,37114229.49,133905731.33016
399006.SZ,20241202,2255.4979,2212.3589,2261.1435,2210.8559,2224.0026,31.4953,1.4162,33138553.38,121920875.56681
399006.SZ,20241203,2245.4986,2252.7536,2261.3904,2224.6918,2255.4979,-9.9993,-0.4433,30491487.8,102668048.85601
