ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
000852.SH,20240821,4548.2644,4564.3783,4590.2004,4543.8807,4579.3041,-31.0397,-0.6778,108164315.0,92275965.567
000852.SH,20240822,4491.8392,4549.2996,4562.9769,4484.559,4548.2644,-56.4252,-1.2406,113469330.0,97994054.3978
000852.SH,20240823,4495.3439,4482.6543,4510.5977,4462.7595,4491.8392,3.5047,0.078,110254720.0,94849186.1011
000852.SH,20240826,4512.893,4492.7057,4531.1733,4476.243,4495.3439,17.5491,0.3904,112271843.0,97519324.7941
000852.SH,20240827,4459.6801,4500.735,4501.0835,4449.2147,4512.893,-53.2129,-1.1791,113939520.0,100126840.5685
000852.SH,20240828,4470.5501,4449.7112,4506.3125,4437.5175,4459.6801,10.87,0.2437,107903177.0,92367714.6206
000852.SH,20240829,4542.4637,4453.4313,4558.9472,4443.9026,4470.5501,71.9136,1.6086,129788753.0,118136327.3416
000852.SH,20240830,4629.3195,4539.9291,4691.0146,4534.0438,4542.4637,86.8558,1.9121,177838616.0,163027974.0584
000852.SH,20240902,4532.5145,4627.1819,4635.765,4529.8343,4629.3195,-96.805,-2.0911,155927274.0,139933704.119
000852.SH,20240903,4572.397,4529.9411,4598.6317,4529.9411,4532.5145,39.8825,0.8799,128952462.0,116579546.737
000852.SH,20240904,4550.7697,4542.9049,4594.4387,4529.3384,4572.397,-21.6273,-0.473,122871657.0,113470304.8177
000852.SH,20240905,4586.7813,4554.5184,4614.7524,4554.5184,4550.7697,36.0116,0.7913,121209194.0,108293303.4643
000852.SH,20240906,4508.2281,4588.9276,4595.6966,4506.3869,4586.7813,-78.5532,-1.7126,127217733.0,115580272.235
000852.SH,20240909,4475.5315,4490.9896,4523.3656,4459.1258,4508.2281,-32.6966,-0.7253,113284927.0,100227926.9106
000852.SH,20240910,4487.5755,4481.4875,4507.1544,4400.7764,4475.5315,12.044,0.2691,132351585.0,114554770.0628
000852.SH,20240911,4486.0066,4469.0149,4500.683,4453.1996,4487.5755,-1.5689,-0.035,113953972.0,101974619.5414
000852.SH,20240912,4468.7439,4490.5235,4542.2845,4468.7439,4486.0066,-17.2627,-0.3848,118731187.0,106135757.5498
